解析函式,欄位說明,模型用欄位名稱,定義使用欄位
calculateAge,年齡,Age,"基本資料-出生日期、
 基本資料-健檢日期"
parseSex,性別,Sex,基本資料-性別
parseDiseaseHistory,高血壓,HT,"過去疾病史-高血壓V3、
 Medicine : 使用藥物-降血壓藥物V3"
parseDiseaseHistory,冠狀動脈疾病,CAD,過去疾病史-冠狀動脈疾病V3
parseDiseaseHistory,心律不整,Arrhythmia,過去疾病史-心律不整V3
parseDiseaseHistory,心辮膜疾病,VHD,過去疾病史-心辮膜疾病V3
parseDiseaseHistory,腦中風,Stroke,過去疾病史-腦中風V3
parseDiseaseHistory,糖尿病,DM,"過去疾病史-糖尿病V3、
 Medicine : 使用藥物-降血糖藥物V3、
 Medicine : 使用藥物-施打胰島素V3"
parseDiseaseHistory,高血脂症,Hyperlipidemia,"過去疾病史-高血脂症V3、
 Medicine : 使用藥物-降血脂藥物V3"
parseDiseaseHistory,高尿酸症或痛風,Gout,過去疾病史-高尿酸症或痛風V3
parseDiseaseHistory,甲狀腺機能亢進,Hyperthyroidism,過去疾病史-甲狀腺機能亢進V3
parseDiseaseHistory,甲狀腺機能低下,Hypothyroidism,過去疾病史-甲狀腺機能低下V3
parseDiseaseHistory,膽囊或膽管結石,gallstones,過去疾病史-膽囊或膽管結石V3
parseDiseaseHistory,大腸息肉,colon_polyp,過去疾病史-大腸息肉V3
parseDiseaseHistory,痔瘡,hemorrhoid,過去疾病史-痔瘡V3
parseDiseaseHistory,慢性胰臟炎,chronic_pancreatitis,過去疾病史-慢性胰臟炎V3
parseDiseaseHistory,風濕性關節炎,RA,過去疾病史-風濕性關節炎V3
parseDiseaseHistory,腎炎,Nephritis,過去疾病史-腎炎V3
parseDiseaseHistory,腎病症候群及病變,Nephrotic_syndrome,過去疾病史-腎病症候群及病變V3
parseDiseaseHistory,急性腎衰竭,AKI,過去疾病史-急性腎衰竭V3
parseDiseaseHistory,慢性腎衰竭,CKD,過去疾病史-慢性腎衰竭V3
parseDiseaseHistory,腎結石或尿路結石,nephrolithiasis,過去疾病史-腎結石或尿路結石V3
parseDiseaseHistory,泌尿道感染,UTI,過去疾病史-泌尿道感染V3
parseDiseaseHistory,攝護腺肥大,Prostate_hypertrophy,過去疾病史-攝護腺肥大V3
parseDiseaseHistory,青光眼,glaucoma,過去疾病史-青光眼V3
parseDiseaseHistory,白內障,cataract,過去疾病史-白內障V3
parseDiseaseHistory,高度近視,nearsighted,過去疾病史-高度近視V3
parseDiseaseHistory,視網膜病變,Retinopathy,過去疾病史-視網膜病變V3
parseDiseaseHistory,中耳炎,Otitis_media,過去疾病史-中耳炎V3
parseDiseaseHistory,梅尼爾氏症-內耳神經失調,Menieres_disease,過去疾病史-梅尼爾氏症-內耳神經失調V3
parseDiseaseHistory,肺炎,pneumonia,過去疾病史-肺炎V3
parseDiseaseHistory,肺氣腫,Emphysema,過去疾病史-肺氣腫V3
parseDiseaseHistory,肺結核,TB,過去疾病史-肺結核V3
parseDiseaseHistory,支氣管擴張症,Bronchiectasis,過去疾病史-支氣管擴張症V3
parseDiseaseHistory,慢性支氣管炎,chronic_bronchitis,過去疾病史-慢性支氣管炎V3
parseDiseaseHistory,氣喘,asthma,過去疾病史-氣喘V3
parseDiseaseHistory,紅斑性狼瘡,SLE,過去疾病史-紅斑性狼瘡V3
parseDiseaseHistory,逆流性食道炎,GERD,過去疾病史-逆流性食道炎V3
parseDiseaseHistory,胃或十二指腸潰瘍,PUD,過去疾病史-胃或十二指腸潰瘍V3
parseDiseaseHistory,B型肝炎帶原,hepatitis_B,過去疾病史-B型肝炎帶原V3
parseDiseaseHistory,C型肝炎帶原,hepatitis_C,過去疾病史-C型肝炎帶原V3
parseDiseaseHistory,肝硬化,Liver cirrhosis,過去疾病史-肝硬化V3
parseDiseaseHistory,急性胰臟炎,Acute_Pancreatitis,過去疾病史-急性胰臟炎V3
parseDiseaseHistory,聽力障礙,Hearing_impairments,過去疾病史-聽力障礙V3
parseDiseaseHistory,鼻中隔彎曲,NSD,過去疾病史-鼻中隔彎曲V3
parseDiseaseHistory,過敏性鼻炎,Allergic_rhinitis,過去疾病史-過敏性鼻炎V3
parseDiseaseHistory,鼻竇炎,Sinusitis,過去疾病史-鼻竇炎V3
parseDiseaseHistory,癲癇,epilepsy,過去疾病史-癲癇V3
parseDiseaseHistory,巴金森氏症,Parkinson,過去疾病史-巴金森氏症V3
parseDiseaseHistory,躁鬱症,bipolar_disorder,過去疾病史-躁鬱症V3
parseDiseaseHistory,憂鬱症,Depression,過去疾病史-憂鬱症V3
parseDiseaseHistory,睡眠呼吸中止症候群,sleep_apnea,過去疾病史-睡眠呼吸中止症候群V3
parseDiseaseHistory,癌症,cancer,"Status : 身體狀況-鼻咽癌V3、
 Status : 身體狀況-口腔癌/下咽癌V3、
 Status : 身體狀況-肺癌V3、
 Status : 身體狀況-乳癌V3、
 Status : 身體狀況-食道癌V3、
 Status : 身體狀況-胃癌V3、
 Status : 身體狀況-肝癌V3、
 Status : 身體狀況-胰臟癌V3、
 Status : 身體狀況-膽囊癌/膽管癌V3、
 Status : 身體狀況-大腸直腸癌V3、
 Status : 身體狀況-卵巢癌V3、
 Status : 身體狀況-子宮頸癌V3、
 Status : 身體狀況-攝護腺癌V3、
 Status : 身體狀況-白血病V3、
 Status : 身體狀況-淋巴癌V3、
 Status : 身體狀況-其他惡性腫瘤V3"
parseDiseaseHistory,降血糖藥物,OHA,Medicine : 使用藥物-降血糖藥物V3
parseDiseaseHistory,施打胰島素,insulin,Medicine : 使用藥物-施打胰島素V3
parseDiseaseHistory,降血壓藥物,antihypertensive,Medicine : 使用藥物-降血壓藥物V3
parseDiseaseHistory,利尿劑,diuretic,Medicine : 使用藥物-利尿劑V3
parseDiseaseHistory,降血脂藥物,lipid_lowering,Medicine : 使用藥物-降血脂藥物V3
parseDiseaseHistory,抗凝血劑,Anticoagulant,Medicine : 使用藥物-抗凝血劑V3
parseDiseaseHistory,抗血小板藥,Antiplatelet,Medicine : 使用藥物-抗血小板藥V3
parseDiseaseHistory,心律不整藥,Antiarrhythmic,Medicine : 使用藥物-心律不整藥V3
parseDiseaseHistory,降尿酸藥物,uricacid_drug,Medicine : 使用藥物-降尿酸藥物V3
parseDiseaseHistory,氣喘肺氣腫,asthma_drug,Medicine : 使用藥物-氣喘肺氣腫V3
parseDiseaseHistory,感冒藥,cold_drug,Medicine : 使用藥物-感冒藥V3
parseDiseaseHistory,胃藥物,Stomach_drug,Medicine : 使用藥物-胃藥物V3
parseDiseaseHistory,肝臟病藥物,liver_drug,Medicine : 使用藥物-肝臟病藥物V3
parseDiseaseHistory,甲狀腺藥物,thyroid_drug,Medicine : 使用藥物-甲狀腺藥物V3
parseDiseaseHistory,止痛消炎藥,anti_inflammatory,Medicine : 使用藥物-止痛消炎藥V3
